Over the past week, I’ve introduced or cosponsored three criminal justice reform bills: https://www.lee.senate.gov/public/index.cfm/press-releases?ID=95C42A54-3365-471F-8D43-6CFEFFD1C3E5 …	
I'm holding a healthcare access live event on Wednesday. You can sign up here: https://www.lee.senate.gov/public/index.cfm/live … #utpolpic.twitter.com/yRqOjxCWBP	#utpolpic
#Happy4thofJuly, America! I'm honored to serve the people of Utah as we move forward with our exceptional experiment in self-government.	#Happy4thofJuly
“Congress Can Better Prevent Forest Fires” https://medium.com/@SenMikeLee/congress-can-better-prevent-forest-fires-c0b31d14588c#---0-253 …pic.twitter.com/BfHEpHfbY9	#
My statement on the delayed healthcare vote: https://www.lee.senate.gov/public/index.cfm?p=press-releases&id=27B8DCFF-79A7-4943-9D2E-657F26B17E5E … #utpol	#utpol
“The Missing Ingredient in #BCRA: Humility” —  @SenMikeLee https://medium.com/@SenMikeLee/the-missing-ingredient-in-bcra-humility-771ce270fd00#---0-134 …pic.twitter.com/jGytMcmuq4	#BCRA #
I am one of four Republicans not ready to vote for #HealthcareBill: https://www.lee.senate.gov/public/index.cfm/press-releases?ID=2303F5A5-FB0B-4AAE-9600-1C971238060A … @SenTedCruz @SenRonJohnson @SenRandPauI	#HealthcareBill
It does not appear that #healthcarebill draft will repeal Obamacare & lower healthcare costs as we promised to do: https://www.lee.senate.gov/public/index.cfm/press-releases?ID=2303F5A5-FB0B-4AAE-9600-1C971238060A …	#healthcarebill
We shouldn't spend U.S. taxpayer $$$ overseas to advocate for issues that aren't settled here at home. http://www.houstonchronicle.com/opinion/outlook/article/Lee-Cruz-In-Trump-era-it-s-time-to-reassess-11234450.php?cmpid=gsa-chron-result … @SenTedCruz	
The #BearsEars report released today confirms that President Obama abused the Antiquities Act and bolsters the case for permanent reform.	#BearsEars
I commend @SecretaryZinke for producing a balanced and factual report that should be seen by all sides as progress: https://www.lee.senate.gov/public/index.cfm?p=press-releases&id=2DBE0D31-B735-4A48-BFC1-0FEF954EBB26 …	
More truth about #PlannedParenthood: https://www.lee.senate.gov/public/index.cfm/speeches?ID=B56B760D-200C-4E98-AF2A-B8EEE375D1D5 …	#PlannedParenthood
Federalism Awakens! @SteveDeaceShowpic.twitter.com/xRH7dQqYxl	
DOJ needs to rethink recently-announced change in sentencing policy: https://www.lee.senate.gov/public/index.cfm?p=press-releases&id=A892F9C4-7936-471C-BB32-1F0279634BE2 … @CoryBooker @SenRandPauI @SenatorDurbin	
Trump's decision to kill the Clean Power Plan put Provo before Paris:http://www.deseretnews.com/article/865681449/Sen-Mike-Lee-Trumps-decision-to-kill-the-Clean-Power-Plan-put-Provo-before-Paris.html …	
Pulling out of the #ParisAgreement is absolutely the right decision for the United States economy: https://www.lee.senate.gov/public/index.cfm/mobile-office?ID=F861F1D3-F8A6-41E7-874F-BDFAF3797640 …	#ParisAgreement
I have consistently opposed the #parisclimateagreement since its inception: https://www.lee.senate.gov/public/index.cfm/2015/11/pay-up-and-up-and-up-developing-nations-set-to-make-demands-at-climate-change-talks-in-paris …	#parisclimateagreement
Confirmed. Four-year-olds can understand the Constitution and the basic principle of federalism!https://twitter.com/glennbeck/status/870343902431027200 …	
No one's stopping you from investing in renewable energy. Learn more here: https://www.nyse.com/index https://twitter.com/utcd2/status/870324323893903360 …	
I will be on @NewDay bright and early tomorrow to discuss Paris climate deal, progress on healthcare, and other topics. Tune in if you can.	
The federal government should not be allowed to indefinitely imprison Americans without due process:http://www.deseretnews.com/article/865680696/Sen-Mike-Lee-others-introduce-bill-to-prevent-indefinite-detention.html …	
"The era of signing citizens up for assistance then neglecting the next step is over." http://www.washingtonexaminer.com/article/2624062  @Jim_Jordan	
