Read my piece published in the @washingtonpost abt Facebook political ads & how to prevent Russians from buying themhttps://www.washingtonpost.com/opinions/how-to-stop-russian-robots-from-attacking-the-next-election/2017/10/02/f8197782-a78b-11e7-92d1-58c702d2d975_story.html …	
My bill with @JohnCornyn to reduce the national rape kit backlog will bring justice for rape victims.	
Good news! Minnesota ranks 1st in ACT scores among states with 100% participation & 5th overall: http://www.startribune.com/minnesota-act-scores-show-slight-gain-at-5th-overall/442951583/ …	
Good piece by fmr DHS Sec Chertoff about need to pass my amendment w @LindseyGrahamSC to secure US election data.https://www.wsj.com/articles/congress-can-help-prevent-election-hacking-1504652957 …	
#DACA recipients know only one home: the United States. I strongly disagree w the admin's decision today. #DefendDACAِ #HereToStaypic.twitter.com/ghOS4mlJOS	#DACA #DefendDACA #HereToStaypic
Thanks Javier for stopping by our office to #DefendDreamers. We must now past the #DreamAct.https://twitter.com/javimorillo/status/905194132725010432 …	#DefendDreamers #DreamAct
Strongly support Durbin-Graham bill and dreamers. Will work to pass bill. 6000 dreamers in MN alone.https://twitter.com/echobaseblog/status/905105030130393089 …	
Last day of #MNstatefair! Been one to remember—great food & people coming together from across MN. Check out our family & the giant pumpkin.pic.twitter.com/L2wUhOBoyP	#MNstatefair
This Labor Day it's important to remember what today is all about: the men and women who work hard every day for all of us.	
Joe came to US as a kid; became citizen to fight in WWII. We should let Dreamers serve, not deport them. http://strib.mn/1bJiziy  #DefendDACA	#DefendDACA
Admin will soon decide future of kids brought to US through no fault of their own, who've made this country their home. We must #DefendDACA.	#DefendDACA
Lost DFL former party chair Rick Stafford today after long illness.Rick was a Wellstone progressive before Wellstone & we will all miss him	
Thanks @EllisonCampaign @keithellison for including me in your annual Labor Day weekend picnic this year! Great crowd.https://twitter.com/ellisoncampaign/status/904044054500872193 …	
I met with Alexandria FD & firefighter widows about my bill to take better care of firefighters who take care of us.https://twitter.com/jeff_karrow/status/903083170853257218 …	
Why we need my bill to protect elections:Russian Hacking Efforts, Wider Than Previously Known, Draw Little Scrutinyhttps://www.nytimes.com/2017/09/01/us/politics/russia-election-hacking.html …	
Proud of MN Guard, led by Major Gen. Nash who's pictured below, sending support for TX rescue/recovery. In US, we take care of each other.pic.twitter.com/fMQ650uOaj	
Good visit to @MightyAxeHops MN's biggest hop farm. Tried some great @DangerousMan7 craft beer. Our craft beer industry employs thousands!https://twitter.com/mightyaxehops/status/903020735358275598 …	
!!!! Trump voting panel apologizes after judge calls failure to disclose information ‘incredible’https://www.washingtonpost.com/local/public-safety/trump-voting-panel-apologizes-after-judge-calls-failure-to-disclose-information-incredible/2017/08/30/675001ba-8d93-11e7-8df5-c2e5cf46c1e2_story.html …	
Spoke w servicemembers & veterans in Moorhead abt experiences & my bills to get Nat'l Guard & Reservists same benefits for same deployment.	
Studies show auto voter reg boosts democratic participation. I'm introducing a bill to make it law nationwide. http://wapo.st/2iCuqLd?tid=ss_tw-amp …	
This is helpful...Where to Donate to Harvey Victims (and How to Avoid Scams)https://www.nytimes.com/2017/08/28/us/donate-harvey-charities-scams.html …	
Stay safe, Houston. Minnesota stands with you as you recover from this disaster.http://www.startribune.com/battered-by-harvey-houston-braces-for-even-more-flooding/441970873/#1 …	#1
He was such a good guy. Obituary: Food writer, author and humorist Al Sichermanhttp://www.startribune.com/local/441940133.html …	
Unprecedented. The pardon of Joe Arpaio shows disregard and contempt for due process & our criminal justice system.https://twitter.com/nytimes/status/901235913891753984 …	
Keeping brave Americans out of the military who are willing to serve does not make our country safer. #ProtectTransTroops	#ProtectTransTroops
You've heard of photo-bombing? Well @SenFranken radio bombed me today @wccoradio booth. You never know who you run into @mnstatefair !!!https://twitter.com/senfranken/status/900703369161039876 …	
